,0
0,0.11563419887201361
-1,0.1156214379662208
-2,0.11449831256135376
-3,0.11446453017016549
-4,0.10718113656497688
-5,0.09291515280176169
-6,0.06926336493863186
-7,0.05260387525073464
-8,0.04195080376938737
-9,0.025523412348602628
