,d0,d1,d2,d3,d4,d5,d6,d7,d8,d9
0,0.09124871187304154,0.08593304412597748,0.08852889634050906,0.08914083110806482,0.08196436747778216,0.07053396826469634,0.051413936470782365,0.040777954532988124,0.030301139175275257,0.02330467498072722
1,0.10756998667534869,0.10536854521534511,0.09717778385000818,0.10020414128153973,0.09526177020166418,0.07938183489344876,0.06252610655354945,0.043818385435968644,0.03453070085924446,0.027090065633085556
2,0.08149406603442477,0.07561504307461726,0.07220222466459908,0.07412549457806797,0.07090271074957846,0.06267208610499675,0.043665381234436924,0.03330955268287539,0.026592724747852074,0.019770996150132947
3,0.10058136267258933,0.09777782993060019,0.09773269960621908,0.09832394666481593,0.09226910465766616,0.07819121467238947,0.05723289097840414,0.04298679314012674,0.03432932998586056,0.022220634599025332
4,0.10842017399431705,0.10466473428316485,0.10738547609555675,0.10641787816416926,0.10214352124415171,0.09281576411104514,0.07230126463890583,0.05992448180413464,0.050243306673468734,0.02887670377591228
5,0.09884271828581066,0.10059746162898756,0.10507510831243551,0.0974297702621188,0.09426320399403414,0.08838583328403922,0.06487907867218509,0.05085430726330194,0.04183004241242331,0.02645856552272866
6,0.1421587015461521,0.14326702509992761,0.14106330714579798,0.14407420805500615,0.1359781691578017,0.1195498977485445,0.08571109480181395,0.0651437774436792,0.05228400952785499,0.026148723094941047
7,0.16950649026805048,0.17463263895702436,0.17544856999278055,0.17259542698369335,0.16270414360065463,0.13809986611845357,0.1026186420548296,0.07071233204043449,0.05702762116686777,0.029746869564633148
8,0.09084665157158031,0.09595643348585492,0.09704966268233199,0.09361051837383112,0.08710073334296657,0.07604614678911334,0.05665085704558614,0.04217469963591727,0.03434434465557253,0.022997969768848867
9,0.10901122944882706,0.10870515401881775,0.10656106867485303,0.10413003934201143,0.09877035735413449,0.08480689547961484,0.06415075265334348,0.04692688216745545,0.03743177225722628,0.025751168927609557
10,0.1484466186170748,0.14949892900589712,0.14822155002701903,0.14770964669110676,0.13718816125568425,0.11685849041430647,0.08261500123386249,0.06048412343423454,0.04755286965452931,0.030197567829818483
11,0.14430931509120629,0.14787035308301508,0.14288928740390108,0.14609131652197174,0.1355142216415241,0.11962229054951783,0.09386937614372066,0.07422862922062733,0.05340915677478485,0.02270791551491264
12,0.07380461160087504,0.07972932267157033,0.0814369478127846,0.0807389330585664,0.0736826267345222,0.05783379317221601,0.042196003709280935,0.03359562322325696,0.029506319289924015,0.02545459054764911
13,0.0981751890512915,0.10129931322418236,0.10393414934031463,0.10325208039148005,0.09914477479391212,0.08401319148194307,0.062368478664104755,0.04707934431905902,0.035556556635600214,0.024327012986997822
14,0.13296846806916093,0.1346873601575284,0.12865765424239173,0.12980570873479613,0.1164039154815479,0.10433297443087597,0.07428591769656939,0.05786679138136839,0.04773580963151249,0.03017709851575311
15,0.13277593127143356,0.13031409150274081,0.13465532072936853,0.1354326792887487,0.12199134099992881,0.0960750546055762,0.06940874055548431,0.047825777851099725,0.03772747544756118,0.022795935399374603
16,0.12780926050709834,0.1249675428107352,0.11879998140905383,0.1226732831204911,0.11331899781952125,0.09842909934949925,0.07894271501813405,0.06250248856505217,0.05109405156367698,0.027215532675791704
17,0.13593549397720575,0.1374197673706064,0.13529744973965188,0.13319724491371288,0.12625576399555216,0.11546332177337425,0.0959389832316813,0.0800326909405794,0.060209860849539845,0.0212903527907052
18,0.10314479801277152,0.0985027317116033,0.09335080059614546,0.0958729256989532,0.09158371023193415,0.08227617998982174,0.055228712477331195,0.03922899468179957,0.035358180309586075,0.028412456344803414
